,Liquid. corrente,Dívida líq./Ebitda,CAPEX/FCO,FCL/RL,ROA,ROIC,Margem Ebitda,Margem bruta,PL/AT,RL/AT,Div. Payout,Intan/AT
PETR,1.005,2.6543968619073124,0.065,0.38427504409358154,0.025,0.075,0.43000000000000005,0.43000000000000005,0.31907636710036374,0.3009650615715742,0.635,0.08171402539398534
ABEV,1.08,0.0,0.255,0.23199626561167241,0.105,0.195,0.375,0.565,0.6075580532244755,0.49163849457583564,0.615,0.3931608862355428
VALE,2.0,0.9473606448882793,0.305,0.19200992424042213,0.015000000000000001,0.07,0.22,0.485,0.4018168639830978,0.41910949435975176,0.335,0.0968509634141734
ITSA,2.0,0.10473517814588024,0.18,0.5,0.13,0.14500000000000002,1.0,0.28500000000000003,0.850010470818152,0.07760535855050268,0.7849999999999999,0.010446992110816015
GOLL,0.395,5.477640583734164,0.64,0.12309112206267164,-0.1,0.045,0.21000000000000002,0.19999999999999998,-0.25,0.701726414657553,0.575,0.12621443265933702
VIVT,1.06,0.49770782118193735,0.42000000000000004,0.26056601713858973,0.045,0.07,0.41,0.485,0.6451430430248077,0.4026998333044714,1.0,0.3771778719906882
B3SA,1.535,0.0,0.08499999999999999,0.40169976850819256,0.08,0.145,0.6799999999999999,0.9,0.581921046587605,0.18279852808108737,0.38,0.6080376105275964
JBSS,2.0,1.901501617439986,0.27,0.048858493360249555,0.04,0.15500000000000003,0.1,0.165,0.2614683435508162,1.6342149765660947,0.155,0.23368806130580372
AZUL,0.565,5.542794446932378,0.51,0.11140583865142302,-0.1,-0.1,0.14500000000000002,0.030000000000000002,-0.25,0.479856520414036,0.0,0.06535109741600768
ELET,1.65,3.1496354270252134,0.0,0.17157171907228963,0.05,0.05,0.365,0.745,0.407195906392727,0.15935803633773107,0.055,0.003661411306439654
SUZB,2.0,4.608167316882913,0.175,0.12417365781680237,-0.07,0.06,0.45999999999999996,0.29000000000000004,0.12840367020304458,0.2824460643980521,0.0,0.1727656208350199
WEGE,2.0,0.0,0.195,0.18763879465587957,0.11,0.18,0.185,0.305,0.5839413128013506,0.8637408353456265,0.395,0.08206225752619487
CRFB,2.0,0.009471050750536097,0.74,0.012153940204507514,0.04,0.12000000000000001,0.07,0.20500000000000002,0.3281598645845581,1.3555390106362024,0.345,0.048329745284607484
MGLU,2.0,0.0,0.024999999999999994,-0.07358409414107339,0.035,0.1,0.07,0.27,0.3396951699444286,1.0942976748724993,0.48,0.07729312825087814
EGIE,2.0,1.9077998675521308,0.54,-0.016895671017844192,0.08,0.18,0.56,0.435,0.22611197139351252,0.33687080196185315,0.71,0.0572134610984498
LREN,1.49,0.2735173113257703,0.685,0.046656657914959265,0.08,0.13,0.235,0.59,0.38732419570739113,0.6639573323394103,0.295,0.06534513583694875
SBSP,2.0,1.7636122427050793,0.7250000000000001,-0.024431620067738864,0.045000000000000005,0.115,0.395,0.405,0.45889003507661125,0.3700390740256495,0.5650000000000001,0.689099949486332
IRBR,0.945,0.0,0.0,-0.09728608686661247,0.015,-0.020000000000000004,0.0,0.0050000000000000044,0.22877900921307515,0.37920735077754286,0.26,0.002711463918599521
RAIL,1.94,2.871802270255971,0.79,0.22369061142834062,0.015,0.060000000000000005,0.545,0.33499999999999996,0.29777704988330755,0.1837973703042155,0.005,0.19128736937176327
CPFE,0.995,2.22537903283074,0.05,0.09783453580721649,0.07,0.125,0.215,0.22,0.29561762923550505,0.6541396015376281,0.38,0.19704452781669368
RENT,2.0,2.8028017549166155,0.1,-0.13364388600994112,0.045,0.11499999999999999,0.22999999999999998,0.265,0.28848032358241693,0.5149819759674588,0.29500000000000004,0.007301969854719927
BRDT,1.67,1.6820605573042222,0.265,0.020885700282900158,0.115,0.13,0.04,0.055,0.38491605356756764,2.0,0.83,0.01637086501339223
BRKM,1.32,5.973008633456218,0.8049999999999999,0.02666698266864407,-0.06,0.0,0.07,0.16,0.0064900170325405265,0.7240375743519476,0.0,0.03669637690411618
CCRO,1.08,2.8156346968459527,0.28500000000000003,0.28298074634104275,0.02,0.10500000000000001,0.485,0.385,0.24553322482511522,0.3070171449489806,0.5656650000000001,0.5069196747626862
LAME,2.0,1.2549561024250782,0.8900000000000001,-0.09122066126372771,0.015,0.10500000000000001,0.14,0.345,0.2772198551088907,0.5080238372603929,0.58,0.1092665714602181
GGBR,2.0,1.5747585561896877,0.6900000000000001,0.04443747612296939,0.03,0.085,0.15000000000000002,0.125,0.49781815659990164,0.7141130591252287,0.255,0.1947071232486481
HAPV,2.0,0.30033984706881905,0.35,-0.25,0.065,0.105,0.22499999999999998,0.395,0.5811286014970991,0.5425801056353872,0.245,0.4172319655019227
NATU,2.0,1.8774671375454726,0.43,0.061940724614504145,0.005,0.060000000000000005,0.135,0.6799999999999999,0.31832059872326046,0.701322865533829,0.095,0.36089756780233817
RADL,1.435,0.37609834810921766,0.41500000000000004,0.0412977651972232,0.05,0.105,0.11,0.295,0.3263959597306991,1.4426126870441687,0.31,0.09642051682072574
BRFS,1.305,2.951647746483071,0.145,0.0970995258656161,0.02,0.095,0.13,0.24,0.18642408206167024,0.7983914360135604,0.0,0.1114020780798042
PCAR,0.905,0.9320793596716197,1.075,-0.014413712123457798,0.025,0.07,0.08,0.245,0.2741711710592811,0.9691510111669468,0.235,0.12197694965685066
CSNA,1.345,3.5073465786371782,0.315,0.1800730099423688,0.05500000000000001,0.10500000000000001,0.26,0.33999999999999997,0.200960005651287,0.4886103438932412,0.46499999999999997,0.12913637017960253
GNDI,2.0,0.0,0.385,-0.15365586918145382,0.04,0.11,0.15000000000000002,0.28,0.4592665653017226,0.6462281221732029,0.165,0.3180276774518588
CMIG,2.0,2.53549923469586,0.485,0.08672366842898696,0.055,0.085,0.195,0.22,0.3207080594051021,0.4874960940930603,0.215,0.2255847454410818
CIEL,1.095,1.1788143828960156,0.925,0.4429880940369286,0.015,0.08,0.245,0.45,0.10495433362459598,0.05510522168196422,0.5549999999999999,0.006417379709577742
CSAN,2.0,2.6654298855997167,0.39,0.1214689448752318,0.055,0.11000000000000001,0.27,0.28,0.329143418469088,0.39516873992344115,0.61,0.2844483980632586
HYPE,2.0,0.2673611111111111,1.035,-0.008608131727377177,0.09,0.11499999999999999,0.36,0.635,0.6332246159363011,0.2566823566173532,0.535,0.39248242787636767
EQTL,1.77,3.2156722695581994,0.0,-0.14165860248086276,0.07500000000000001,0.14,0.22,0.315,0.2693331365186158,0.45313714398800975,0.185,0.22094013303544457
KLBN,2.0,4.3992930998100865,0.6599999999999999,0.058741182256790106,-0.025,0.11499999999999999,0.35,0.365,0.15581538888042964,0.3173633998235634,0.625,0.002172640709819837
PSSA,2.0,0.0,0.28500000000000003,0.05194525901793154,0.045,0.05,0.09,1.0,0.24846122145376587,0.5298172984086069,0.485,0.06047033536768551
REDE,2.0,2.5629966406127127,0.51,0.03297348618902422,0.055,0.10500000000000001,0.21000000000000002,0.215,0.2579386032001816,0.5601162823676085,0.65,0.30925718396447066
